Scale,Region_Name,Season_Name,Metrics,Trend_Decadal,P_Value,Change_Point_Year,Change_Point_pvalue,Trend_Decadal_pre,P_Value_pre,Trend_Decadal_post,P_Value_post,RatioPostPre
All,None,None,Number_MHW_days,11.698482400318799,6.87418008698027e-8,2001,6.55494015166751e-5,1.38821354856315,0.581254760411818,28.8740509414796,1.25559643273859e-4,20.7994302975686
All,None,None,Nevents,0.743945613196117,4.64644788555115e-8,2001,4.51834518032562e-5,0.211122699734221,0.144292055440105,0.993904080612284,0.00279438759166356,4.7077082751570245
All,None,None,Mean_Intensity,0.0875560282029348,2.45098930791137e-7,1996,2.55407085297392e-5,-0.00798443227820263,0.766525299523572,0.07869741245428391,0.00627313191889528,-9.85635668413477
All,None,None,Maximum_Intensity,0.153522385398677,1.90874122396223e-7,2004,1,0.0842010097914022,0.11305101958707,0.162929646785323,0.0339090759496075,1.9350082283925272
All,None,None,Cumulative_Intensity,19.7209396906684,2.62181348493538e-9,2001,5.11870723406465e-5,5.545680674593379,0.0855148056305152,40.5470706774567,4.57020556458197e-5,7.311468700896612
Season,None,Summer,Number_MHW_days,3.1500773608066304,1.39457277270643e-8,2002,6.16361902409939e-5,0.84633895199835,0.0654733584595351,6.177181005858749,6.57654395317844e-4,7.298708149109025
Season,None,Summer,Nevents,0.202914048760362,2.09282285119544e-8,2001,5.11870723406465e-5,0.0731473345699721,0.0743529053685636,0.279461010509816,0.00186908189838691,3.8205221304747066
Season,None,Summer,Mean_Intensity,0.11242273192366001,3.73766637617095e-6,2003,6.55494015166751e-5,0.041086347024015396,0.429795272339556,0.0989211572936238,0.107542828899301,2.4076406022614605
Season,None,Summer,Maximum_Intensity,0.194764858925714,1.88597992131685e-6,2003,7.40962597705834e-5,0.044268017346632896,0.49856438700637,0.25293026069729896,0.0209409336737407,5.713611674016779
Season,None,Summer,Cumulative_Intensity,7.0337406420104,5.30954521474614e-9,2002,4.80960677134675e-5,1.70416903903295,0.0852100829937604,13.791843202830101,1.12984090110866e-4,8.093001860106812
Season,None,Autumn,Number_MHW_days,3.71479506032985,4.01019085983497e-9,2001,1.2465016381908e-5,0.629966155147879,0.22996907772364,8.912969200395649,2.58359804977547e-4,14.148330235778156
Season,None,Autumn,Nevents,0.223750358936455,1.8289347804956e-8,2000,4.24394549247558e-5,0.05222876043229101,0.293917170251957,0.335213068728126,3.0698294704142e-4,6.418170103092794
Season,None,Autumn,Mean_Intensity,0.08344056481392191,5.22475630357289e-6,2005,8.36962625766769e-5,0.0492818424021699,0.0965338291080209,0.0122025434032971,0.836819705051275,0.24760728918608402
Season,None,Autumn,Maximum_Intensity,0.15242368718260502,4.01595244345615e-7,2004,5.44667631596643e-5,0.0702059378743431,0.139144174822425,0.151517167078915,0.0408158476159627,2.158181653382445
Season,None,Autumn,Cumulative_Intensity,5.90127992823551,9.5477170400424e-10,2002,1.33171686671005e-5,1.64612299248444,0.0371976937291238,13.681471191032,4.05578602319922e-4,8.311329866295713
Season,None,Winter,Number_MHW_days,2.65594784815969,1.90874122396223e-7,2004,2.90297850230217e-5,0.5254327824998191,0.341717880045567,9.48820237683166,0.00399311317492267,18.057880461303206
Season,None,Winter,Nevents,0.19169455020960702,4.53763451423751e-7,2001,5.11870723406465e-5,0.021756559658948002,0.626496274346911,0.247675385266247,0.00412152626514253,11.3839407125374
Season,None,Winter,Mean_Intensity,0.084806419143892,6.87418008698027e-8,1996,1.02107830524213e-5,0.0226114108461305,0.620690717075355,0.0687418623189935,0.0135622401304961,3.0401403427136136
Season,None,Winter,Maximum_Intensity,0.13499541564426099,5.29724577737425e-8,1996,1.1665258384058e-5,0.00974031181075441,0.843085229269984,0.124153443427511,0.00627313191889528,12.746352051115192
Season,None,Winter,Cumulative_Intensity,3.4824057383730302,6.10461977292404e-9,1996,1.97268550760123e-5,-0.9018145385181691,0.428480419497997,5.84644801219391,4.99960729554432e-5,-6.482982656057636
Season,None,Spring,Number_MHW_days,2.27549775669079,2.16350804118724e-7,2001,9.44709032399838e-5,0.240086919733857,0.381032385484343,5.88969933342645,0.00152084242070237,24.53152941424441
Season,None,Spring,Nevents,0.14793863495836498,3.14066612751757e-7,1996,6.96983072473703e-5,-0.059638731843647,0.234954783703343,0.173027960463059,8.07195006689508e-4,-2.901268271711092
Season,None,Spring,Mean_Intensity,0.08154738275053759,5.1243908223614e-7,2006,2.55407085297392e-5,0.045255867564623,0.0882107097040933,0.037034483310522,0.344417522979072,0.818335506608921
Season,None,Spring,Maximum_Intensity,0.13049412226749701,8.2911002091801e-7,2006,3.74207293546777e-5,0.082507956515037,0.107072352121493,0.0768456884027195,0.300427116749241,0.9313730656838464
Season,None,Spring,Cumulative_Intensity,3.20535955142456,2.09282285119544e-8,1996,6.96983072473703e-5,-0.507669040357813,0.766525299523572,4.91464415281465,1.04751923791109e-4,-9.680803362266749
Region,Arctic,None,Number_MHW_days,16.9038832047668,4.53763451423751e-7,2002,8.93112069581365e-6,-1.3118872659108698,0.739763807728124,40.9435024840889,0.00255021763846321,-31.20961956716685
Region,Arctic,None,Nevents,0.690243828491349,1.5424742812382e-5,2001,3.51288802808885e-5,-0.0351910918340638,0.974117747355371,0.48982329661528495,0.174190482700077,-13.91895707370899
Region,Arctic,None,Mean_Intensity,0.200437984027994,5.1243908223614e-7,2006,8.89286682281711e-5,0.132537893538193,0.00953084738180637,0.00435452314004492,0.964089361267912,0.03285492943789763
