Scale,Region_Name,Season_Name,Metrics,Sens_Slope,P_Value,Change_Point_Year,Change_Point_pvalue,lm_slope,Sens_Slope_pre,P_Value_pre,Sens_Slope_post,P_Value_post,Trend_Decadal,Trend_Decadal_lm,Trend_Decadal_pre,Trend_Decadal_post
Region,Temperate Northern Atlantic,None,Maximum_Intensity,0.007624911,0.006181537,2005,0.002805647,0.006204499,-0.008284046,0.097,0.013636019,0.0435,0.076,0.062044986,-0.083,0.136
Region,Temperate Northern Atlantic,None,Cumulative_Intensity,3.451943563,2.92E-10,2001,8.35E-06,3.636329077,1.357725698,0.010,4.814911474,0.0008,34.519,36.36329077,13.577,48.149
Region,Temperate Northern Pacific,None,Number_MHW_days,1.316062341,5.22E-06,2002,5.62E-04,1.662815779,0.622393303,0.110,3.110013157,0.0644,13.161,16.62815779,6.224,31.100
Region,Temperate Northern Pacific,None,Nevents,0.090273139,5.84E-06,2002,0.001187424,0.089839865,0.059085076,0.085,0.14200285,0.0410,0.903,0.898398649,0.591,1.420
Region,Temperate Northern Pacific,None,Mean_Intensity,0.007845606,1.68E-04,1997,5.94E-04,0.007568866,-1.77E-04,1.000,0.003291129,0.3153,0.078,0.075688661,-0.002,0.033
Region,Temperate Northern Pacific,None,Maximum_Intensity,0.017771947,2.12E-06,1997,2.16E-04,0.016378571,4.49E-04,1.000,0.016016324,0.0125,0.178,0.16378571,0.004,0.160
Region,Temperate Northern Pacific,None,Cumulative_Intensity,2.672010469,6.53E-07,2002,3.61E-04,3.313712629,1.347375961,0.057,6.687748553,0.0179,26.720,33.13712629,13.474,66.877
Region,Tropical Atlantic,None,Number_MHW_days,1.334217486,8.90E-08,2001,8.35E-06,2.193838699,0.192571089,0.417,3.795366509,0.0103,13.342,21.93838699,1.926,37.954
Region,Tropical Atlantic,None,Nevents,0.119210284,4.54E-07,2001,2.10E-05,0.134175868,0.02842138,0.315,0.16379907,0.0497,1.192,1.341758678,0.284,1.638
Region,Tropical Atlantic,None,Mean_Intensity,-0.003258656,1.84E-04,2002,1.81E-04,-0.003541533,8.19E-05,0.976,-0.001984186,0.4957,-0.033,-0.035415325,0.001,-0.020
Region,Tropical Atlantic,None,Maximum_Intensity,-0.001830669,0.357347194,2002,0.72961596,-0.001823517,7.66E-04,0.880,0.001192244,0.7212,-0.018,-0.01823517,0.008,0.012
Region,Tropical Atlantic,None,Cumulative_Intensity,1.500431365,1.91E-07,2001,2.10E-05,2.482254243,0.309397428,0.417,3.896270272,0.0103,15.004,24.82254243,3.094,38.963
Region,Eastern Indo-Pacific,None,Number_MHW_days,1.235859827,5.84E-06,2001,1.92E-04,1.670219405,0.130788465,0.673,2.996046285,0.0275,12.359,16.70219405,1.308,29.960
Region,Eastern Indo-Pacific,None,Nevents,0.082125524,5.28E-05,2001,3.82E-04,0.078400587,0.027553203,0.626,0.068110657,0.2389,0.821,0.784005866,0.276,0.681
Region,Eastern Indo-Pacific,None,Mean_Intensity,-0.001759423,0.063951978,2002,0.176057562,-0.001775438,7.09E-04,0.695,-0.002305731,0.3468,-0.018,-0.017754379,0.007,-0.023
Region,Eastern Indo-Pacific,None,Maximum_Intensity,-9.63E-05,0.99070403,1995,0.772256766,-3.25E-04,-0.021040729,0.037,-0.003423713,0.3590,-0.001,-0.003253613,-0.210,-0.034
Region,Eastern Indo-Pacific,None,Cumulative_Intensity,1.514263114,1.25E-05,2001,5.32E-04,2.011371531,0.352564685,0.315,3.054183631,0.0748,15.143,20.11371531,3.526,30.542
Region,Central Indo-Pacific,None,Number_MHW_days,1.245984375,2.78E-07,1997,3.51E-05,1.74996852,-0.155958937,0.753,1.858385784,0.0035,12.460,17.4996852,-1.560,18.584
Region,Central Indo-Pacific,None,Nevents,0.103980346,1.50E-06,1997,7.41E-05,0.115222924,-0.025989645,0.685,0.119335341,0.0095,1.040,1.152229242,-0.260,1.193
Region,Central Indo-Pacific,None,Mean_Intensity,-0.002377261,5.28E-05,2002,6.27E-04,-0.002258933,-9.29E-04,0.566,-0.002150031,0.1119,-0.024,-0.022589333,-0.009,-0.022
Region,Central Indo-Pacific,None,Maximum_Intensity,-4.85E-05,0.99070403,1984,1,-2.54E-04,-0.027615769,1.000,8.47E-04,0.4507,0.000,-0.002536786,-0.276,0.008
Region,Central Indo-Pacific,None,Cumulative_Intensity,1.597730861,7.36E-07,1997,3.99E-05,2.165823971,-0.218486374,0.620,2.266684345,0.0072,15.977,21.65823971,-2.185,22.667
Region,Western Indo-Pacific,None,Number_MHW_days,1.352872483,1.89E-06,2004,1.44E-04,1.736013358,0.33584098,0.369,3.548008407,0.0100,13.529,17.36013358,3.358,35.480
Region,Western Indo-Pacific,None,Nevents,0.109674373,1.25E-05,2004,5.62E-04,0.106361405,0.042642035,0.342,0.18081872,0.0408,1.097,1.063614053,0.426,1.808
Region,Western Indo-Pacific,None,Mean_Intensity,-0.001481208,0.016919054,2006,0.021168586,-0.001593986,2.26E-04,0.907,-2.12E-04,1.0000,-0.015,-0.015939861,0.002,-0.002
Region,Western Indo-Pacific,None,Maximum_Intensity,0.001085384,0.521648149,1995,0.953413594,5.72E-04,-0.009557165,0.125,5.54E-04,0.9005,0.011,0.005718358,-0.096,0.006
Region,Western Indo-Pacific,None,Cumulative_Intensity,1.658106616,2.66E-06,2004,1.81E-04,2.155317336,0.436869575,0.398,4.407939986,0.0124,16.581,21.55317336,4.369,44.079
Region,Tropical Eastern Pacific,None,Number_MHW_days,0.656873532,0.008174287,2005,0.068661947,0.863930187,0.123166908,0.785,2.39776718,0.1275,6.569,8.639301865,1.232,23.978
Region,Tropical Eastern Pacific,None,Nevents,0.062017649,0.007628452,2001,0.051540395,0.05934224,-0.012155259,0.820,0.127141368,0.1235,0.620,0.593422398,-0.122,1.271
Region,Tropical Eastern Pacific,None,Mean_Intensity,-0.00175593,0.40811042,2016,0.701862717,-0.002809706,0.001111202,0.532,-0.036626635,0.0085,-0.018,-0.028097065,0.011,-0.366
Region,Tropical Eastern Pacific,None,Maximum_Intensity,-7.40E-04,0.753082136,2017,1,-0.005390706,0.002594023,0.438,-0.052054944,0.2207,-0.007,-0.053907064,0.026,-0.521
Region,Tropical Eastern Pacific,None,Cumulative_Intensity,0.904022831,0.015875547,2005,0.103284553,0.741220472,0.133265378,0.862,2.926534532,0.1740,9.040,7.412204715,1.333,29.265
Region,Temperate South America,None,Number_MHW_days,0.547116508,0.013076818,2003,0.142253372,0.549674848,0.025643402,0.910,1.663468965,0.0931,5.471,5.496748478,0.256,16.635
Region,Temperate South America,None,Nevents,0.024017769,0.091142799,2003,0.406361811,0.023638723,-0.001151967,0.910,0.041956314,0.3630,0.240,0.236387228,-0.012,0.420
Region,Temperate South America,None,Mean_Intensity,0.004725097,0.018022282,2006,0.015185229,0.004086875,9.04E-04,0.761,-0.008331461,0.2604,0.047,0.040868749,0.009,-0.083
Region,Temperate South America,None,Maximum_Intensity,0.009129432,0.002968184,2006,0.001981753,0.008527127,0.001732061,0.761,-0.007536479,0.4440,0.091,0.085271269,0.017,-0.075
Region,Temperate South America,None,Cumulative_Intensity,1.073284656,0.011462469,2003,0.125431039,0.815740208,-0.071601438,0.910,2.614317074,0.0358,10.733,8.157402085,-0.716,26.143
Region,Temperate Southern Africa,None,Number_MHW_days,0.877818017,1.89E-06,1998,3.22E-04,0.918991152,0.035290832,0.837,1.192778423,0.0043,8.778,9.189911518,0.353,11.928
Region,Temperate Southern Africa,None,Nevents,0.066693408,1.01E-05,1998,1.61E-04,0.061541932,-0.007488027,0.773,0.06498166,0.0309,0.667,0.615419324,-0.075,0.650
Region,Temperate Southern Africa,None,Mean_Intensity,0.005194696,9.76E-04,2005,0.013366235,0.004773617,0.004675239,0.385,0.005016145,0.2661,0.052,0.047736171,0.047,0.050
Region,Temperate Southern Africa,None,Maximum_Intensity,0.011340497,1.71E-05,2006,4.04E-04,0.010044443,0.006120949,0.338,0.009271277,0.1151,0.113,0.100444431,0.061,0.093
Region,Temperate Southern Africa,None,Cumulative_Intensity,1.645952298,5.12E-07,1998,1.81E-04,1.716818599,0.314550143,0.592,2.275966228,0.0032,16.460,17.16818599,3.146,22.760
Region,Temperate Australasia,None,Number_MHW_days,1.394006718,1.12E-05,1997,8.37E-05,1.485910439,-0.292553598,0.499,1.617929489,0.0585,13.940,14.85910439,-2.926,16.179
Region,Temperate Australasia,None,Nevents,0.091444573,1.01E-05,1997,6.55E-05,0.085627017,-0.027163914,0.558,0.069192223,0.0721,0.914,0.856270166,-0.272,0.692
Region,Temperate Australasia,None,Mean_Intensity,0.001166413,0.258412876,2008,0.031541332,0.001128542,-0.004264632,0.024,3.56E-04,0.9128,0.012,0.011285419,-0.043,0.004
Region,Temperate Australasia,None,Maximum_Intensity,0.006338977,0.011462469,2007,8.21E-04,0.006571175,-0.005481563,0.123,0.002388131,0.6922,0.063,0.065711746,-0.055,0.024
Region,Temperate Australasia,None,Cumulative_Intensity,2.095636761,6.51E-06,1997,5.79E-05,2.338997073,-0.546512883,0.444,2.535014387,0.0422,20.956,23.38997073,-5.465,25.350
Region,Southern Ocean,None,Number_MHW_days,-0.467193357,1.15E-04,2006,3.22E-04,-0.454283294,-0.095638901,0.414,0.040914639,1.0000,-4.672,-4.542832935,-0.956,0.409
Region,Southern Ocean,None,Nevents,-0.048216599,7.27E-06,2006,4.81E-05,-0.049703438,-0.011344805,0.338,-0.029062596,0.4995,-0.482,-0.497034378,-0.113,-0.291
Region,Southern Ocean,None,Mean_Intensity,0.010410057,2.88E-05,2005,4.84E-06,0.011427147,-0.004271568,0.056,0.025316697,0.0015,0.104,0.114271466,-0.043,0.253
Region,Southern Ocean,None,Maximum_Intensity,0.013894607,5.83E-05,2005,1.09E-05,0.015177196,-0.006591643,0.040,0.034124211,0.0008,0.139,0.151771962,-0.066,0.341
Region,Southern Ocean,None,Cumulative_Intensity,-0.059068682,0.491823743,1993,0.490076252,0.006236978,0.717012965,0.244,0.061311705,0.7215,-0.591,0.062369785,7.170,0.613
Region x Season,Arctic,Summer,Number_MHW_days,0.400362988,1.58E-07,2002,3.09E-05,0.470820369,0.138236904,0.156,0.630657741,0.0252,4.004,4.708203688,1.382,6.307
Region x Season,Arctic,Summer,Nevents,0.019099981,1.62E-05,2002,6.55E-05,0.019355115,0.0102579,0.239,0.005706945,0.8203,0.191,0.193551149,0.103,0.057
Region x Season,Arctic,Summer,Mean_Intensity,0.035874819,4.54E-05,2006,4.52E-05,0.040812051,8.27E-05,0.981,0.026755629,0.3444,0.359,0.408120511,0.001,0.268
Region x Season,Arctic,Summer,Maximum_Intensity,0.055462636,9.04E-05,2006,5.12E-05,0.064372885,-4.18E-04,0.907,0.046331071,0.4440,0.555,0.643728852,-0.004,0.463
