Scale_1,Scale_2,Region_Name,Season_Name,Metrics,Sens_Slope,P_Value,Change_Point_Year,Change_Point_pvalue
Global,Region,Western Indo-Pacific,None,Cumulative_Intensity,0.198019937164352,1.66481083552583e-6,2009,0.00121769251462106
Global,Region,Western Indo-Pacific,None,Maximum_Intensity,-4.29989183019841e-4,0.698682235982436,2001,0.377751205675124
Global,Region,Western Indo-Pacific,None,Duration,0.152713031625435,1.16802529349747e-7,2006,1.35457472981708e-4
Global,Region,Western Indo-Pacific,None,Number_Events,80.24,7.61104583393064e-6,1997,3.97183100025278e-4
Global,Season,None,Autumn,Cumulative_Intensity,0.552463684824139,2.65434263011889e-9,2005,9.86830740578633e-6
Global,Season,None,Autumn,Maximum_Intensity,0.0179224336043796,5.97997564942975e-8,2005,1.70890990196741e-5
Global,Season,None,Autumn,Duration,0.240884506388732,1.15653300378769e-6,2005,9.33052777180831e-5
Global,Season,None,Autumn,Number_Events,329.25,4.77336443339458e-9,1997,5.62709121055857e-6
Global,Season,None,Spring,Cumulative_Intensity,0.42250283092475,4.12552831528452e-9,2006,5.61367056606542e-5
Global,Season,None,Spring,Maximum_Intensity,0.0201402778117482,1.97521435738961e-7,2006,1.19723670090242e-4
Global,Season,None,Spring,Duration,0.182655905178898,1.60506346390523e-4,2004,1.05733944686035e-4
Global,Season,None,Spring,Number_Events,186.848484848485,1.97521435738961e-7,1997,2.55846118682728e-5
Global,Season,None,Summer,Cumulative_Intensity,1.0627959436146,3.7001266549237e-10,2001,2.3662832149917e-6
Global,Season,None,Summer,Maximum_Intensity,0.0366906100755057,6.37927230261735e-9,2001,21
Global,Season,None,Summer,Duration,0.280500464634875,1.72894936803739e-8,2001,2.23821386974497e-5
Global,Season,None,Summer,Number_Events,352.566666666667,2.86632347573959e-11,2000,5.62709121055857e-6
Global,Season,None,Winter,Cumulative_Intensity,0.401591438379811,3.97452114834394e-8,2006,1.05733944686035e-4
Global,Season,None,Winter,Maximum_Intensity,0.0129376091587288,3.51676261366853e-5,1996,0.00150916021500612
Global,Season,None,Winter,Duration,0.229839841823156,4.2900527710888e-6,2004,1.05733944686035e-4
Global,Season,None,Winter,Number_Events,189.809523809524,3.81885002005355e-6,1997,2.55846118682728e-5
Global,Region x Season,Arctic,Autumn,Cumulative_Intensity,0.785686805967991,2.28703204495146e-8,2005,1.70890990196741e-5
Global,Region x Season,Arctic,Autumn,Maximum_Intensity,0.0282879216942977,6.79417686548779e-6,2005,1.95261212197266e-4
Global,Region x Season,Arctic,Autumn,Duration,0.36714778974856,3.39748710287996e-6,2008,2.48186485431059e-4
Global,Region x Season,Arctic,Autumn,Number_Events,110.4,5.49684810361427e-7,2000,3.80324892993453e-5
Global,Region x Season,Arctic,Winter,Cumulative_Intensity,0.359174253860911,2.65434263011889e-9,1999,3.33507356054731e-5
Global,Region x Season,Arctic,Winter,Maximum_Intensity,0.00987837466674288,1.66481083552583e-6,1997,17
Global,Region x Season,Arctic,Winter,Duration,0.309640861716081,4.94165396038884e-4,2009,2.7947646735867e-4
Global,Region x Season,Arctic,Winter,Number_Events,44.5333333333333,0.0110743728161696,2000,0.00109250849536931
Global,Region x Season,Central Indo-Pacific,Autumn,Cumulative_Intensity,0.133743504884388,2.14207877051538e-4,2004,0.00464327169676353
Global,Region x Season,Central Indo-Pacific,Autumn,Maximum_Intensity,-0.0034323976616027602,0.0127041866406284,2006,0.0357603358904642
Global,Region x Season,Central Indo-Pacific,Autumn,Duration,0.11869228744012,4.81668220208274e-6,2004,2.7947646735867e-4
Global,Region x Season,Central Indo-Pacific,Autumn,Number_Events,40.5333333333333,3.75856328122382e-4,1997,9.79420907269785e-4
Global,Region x Season,Central Indo-Pacific,Spring,Cumulative_Intensity,0.17729790878101,3.51676261366853e-5,2004,3.97183100025278e-4
Global,Region x Season,Central Indo-Pacific,Spring,Maximum_Intensity,-0.00168678649561675,0.467953813526093,2007,0.660380163523839
Global,Region x Season,Central Indo-Pacific,Spring,Duration,0.132316022894269,1.66481083552583e-6,2006,5.61367056606542e-5
Global,Region x Season,Central Indo-Pacific,Spring,Number_Events,39.2352941176471,3.42708675315214e-4,1997,8.77346766009598e-4
Global,Region x Season,Central Indo-Pacific,Summer,Cumulative_Intensity,0.145823378259482,3.12311605580755e-4,2000,23
Global,Region x Season,Central Indo-Pacific,Summer,Maximum_Intensity,-0.00338594883059446,0.010331357016337901,2006,0.0118730988541014
Global,Region x Season,Central Indo-Pacific,Summer,Duration,0.11990605998497,3.81885002005355e-6,2000,23
Global,Region x Season,Central Indo-Pacific,Summer,Number_Events,38.4615384615385,5.33702567489656e-5,1997,1.19723670090242e-4
Global,Region x Season,Central Indo-Pacific,Winter,Cumulative_Intensity,0.186891535745817,9.81205867244769e-5,2007,0.00186450050096955
Global,Region x Season,Central Indo-Pacific,Winter,Maximum_Intensity,-0.00362260743178184,0.0096330390195811,2002,0.00109250849536931
Global,Region x Season,Central Indo-Pacific,Winter,Duration,0.155868775419337,6.23115933135299e-7,2005,1.19723670090242e-4
Global,Region x Season,Central Indo-Pacific,Winter,Number_Events,39.3333333333333,3.70194889391621e-5,1997,4.45848513073619e-4
Global,Region x Season,Eastern Indo-Pacific,Autumn,Cumulative_Intensity,0.230599330357143,5.91435705422171e-4,2005,0.00167810930427332
Global,Region x Season,Eastern Indo-Pacific,Autumn,Maximum_Intensity,-0.00245591856060605,0.133611243767786,2002,0.555154056666902
Global,Region x Season,Eastern Indo-Pacific,Autumn,Duration,0.224802452013484,7.25470227146536e-5,2005,4.45848513073619e-4
Global,Region x Season,Eastern Indo-Pacific,Autumn,Number_Events,6,2.46739507805285e-4,2001,0.00511846772737721
Global,Region x Season,Eastern Indo-Pacific,Spring,Cumulative_Intensity,0.191472700994098,1.48649326398969e-5,2007,4.45848513073619e-4
Global,Region x Season,Eastern Indo-Pacific,Spring,Maximum_Intensity,-0.00610101754057563,0.00212198721642947,2006,27
Global,Region x Season,Eastern Indo-Pacific,Spring,Duration,0.178750339445739,1.02313158177583e-6,2001,6.38154303823238e-5
Global,Region x Season,Eastern Indo-Pacific,Spring,Number_Events,4.38461538461539,3.57853075926795e-4,2001,7.85290873176704e-4
Global,Region x Season,Eastern Indo-Pacific,Summer,Cumulative_Intensity,0.263715447573511,1.45622603525576e-4,2008,3.14463122433617e-4
Global,Region x Season,Eastern Indo-Pacific,Summer,Maximum_Intensity,-0.00271199095022625,0.160546113795999,2012,0.377751205675124
Global,Region x Season,Eastern Indo-Pacific,Summer,Duration,0.234329564468704,1.48649326398969e-5,2007,5.61367056606542e-5
Global,Region x Season,Eastern Indo-Pacific,Summer,Number_Events,6.2,5.06193371945136e-5,2001,0.00311985363459873
Global,Region x Season,Eastern Indo-Pacific,Winter,Cumulative_Intensity,0.250771539393939,2.35577925661531e-4,2006,26
Global,Region x Season,Eastern Indo-Pacific,Winter,Maximum_Intensity,-0.00238873180453986,0.383767900437737,2000,0.555154056666902
Global,Region x Season,Eastern Indo-Pacific,Winter,Duration,0.252864782276547,1.87762922713884e-6,2006,0.00109250849536931
Global,Region x Season,Eastern Indo-Pacific,Winter,Number_Events,5.92857142857143,5.07840772636454e-6,2000,0.00176902595422137
Global,Region x Season,Southern Ocean,Spring,Cumulative_Intensity,0.0687216982142856,7.7119758521161e-4,2005,26
Global,Region x Season,Southern Ocean,Spring,Maximum_Intensity,0.00689052156042276,0.00269957989486503,2005,0.045256318771276
Global,Region x Season,Southern Ocean,Spring,Duration,0.0563609163537258,0.370696984568353,2011,0.0942612433830434
Global,Region x Season,Southern Ocean,Spring,Number_Events,-26,7.99358517095553e-7,2005,5.62709121055857e-6
Global,Region x Season,Southern Ocean,Summer,Cumulative_Intensity,0.14447744109874,0.0229532408824804,2009,0.0357603358904642
Global,Region x Season,Southern Ocean,Summer,Maximum_Intensity,0.00498227438159273,0.105021730775246,2010,0.160171902192576
Global,Region x Season,Southern Ocean,Summer,Duration,0.0775764628693322,0.0858411484224819,2009,0.0304441116445632
Global,Region x Season,Southern Ocean,Summer,Number_Events,-16.09375,9.32268195316468e-5,2004,3.7476928569413e-4
Global,Region x Season,Temperate Australasia,Spring,Cumulative_Intensity,0.14627709772907,0.0397373957866737,1995,0.0387112123933513
Global,Region x Season,Temperate Australasia,Spring,Maximum_Intensity,0.00398126860749953,0.146605985780811,2006,0.0942612433830434
Global,Region x Season,Temperate Australasia,Spring,Duration,0.0935411539513262,0.0189357576738901,1995,0.025836546833417
Global,Region x Season,Temperate Australasia,Spring,Number_Events,5.13793103448276,0.0145092079991265,1997,0.00903316188522533
Global,Region x Season,Temperate Australasia,Summer,Cumulative_Intensity,0.412266477688978,7.06293773294319e-4,2006,0.00109250849536931
Global,Region x Season,Temperate Australasia,Summer,Maximum_Intensity,0.0119256868366857,0.00152764207330895,2007,3.53550585750063e-4
Global,Region x Season,Temperate Australasia,Summer,Duration,0.216540216540217,4.51331183454101e-4,2006,0.00186450050096955
Global,Region x Season,Temperate Australasia,Summer,Number_Events,10.6896551724138,1.66481083552583e-6,1997,2.7947646735867e-4
Global,Region x Season,Temperate Northern Atlantic,Autumn,Cumulative_Intensity,0.563322178988328,1.87762922713884e-6,2004,3.14463122433617e-4
Global,Region x Season,Temperate Northern Atlantic,Autumn,Maximum_Intensity,0.00394084155443554,0.167881351832312,2009,0.0942612433830434
Global,Region x Season,Temperate Northern Atlantic,Autumn,Duration,0.3004154080423,7.82962562397342e-8,2004,1.35457472981708e-4
Global,Region x Season,Temperate Northern Atlantic,Autumn,Number_Events,68.625,4.86736760302927e-8,1998,4.88020066125706e-6
Global,Region x Season,Temperate Northern Atlantic,Winter,Cumulative_Intensity,0.273733107125155,0.0155472242411343,2005,0.00620502875759753
Global,Region x Season,Temperate Northern Atlantic,Winter,Maximum_Intensity,-0.00454163280619497,0.0695960329611764,1994,0.0879042036985999
Global,Region x Season,Temperate Northern Atlantic,Winter,Duration,0.217350064350064,8.02740462147889e-5,2005,9.33052777180831e-5
Global,Region x Season,Temperate Northern Atlantic,Winter,Number_Events,50.5625,2.62812632640582e-8,2004,8.58552681337995e-6
Global,Region x Season,Temperate Northern Pacific,Autumn,Cumulative_Intensity,0.397027976614403,5.33702567489656e-5,2005,0.00311985363459873
Global,Region x Season,Temperate Northern Pacific,Autumn,Maximum_Intensity,0.00652330014531835,0.0260259359532503,2005,0.00420887071400065
Global,Region x Season,Temperate Northern Pacific,Autumn,Duration,0.189336873079939,6.06156849779376e-6,1995,5.60470204167668e-4
Global,Region x Season,Temperate Northern Pacific,Autumn,Number_Events,43.1481481481481,2.24925406340767e-7,2002,2.2022589031756e-4
Global,Region x Season,Temperate Northern Pacific,Winter,Cumulative_Intensity,0.225018692212657,0.0374648476140977,2013,0.0527413353956606
Global,Region x Season,Temperate Northern Pacific,Winter,Maximum_Intensity,-7.28730826870638e-5,0.961407429045934,2004,0.745987739928474
Global,Region x Season,Temperate Northern Pacific,Winter,Duration,0.148469303372161,6.46496316480991e-4,1994,0.00620502875759753
Global,Region x Season,Temperate Northern Pacific,Winter,Number_Events,21.8947368421053,1.95027806969271e-5,1994,0.00103452246615332
Global,Region x Season,Temperate South America,Spring,Cumulative_Intensity,0.207467201466218,0.00581407327516317,1996,0.0330083463012502
Global,Region x Season,Temperate South America,Spring,Maximum_Intensity,0.0105066520223969,0.0135960684649066,2006,0.00420887071400065
Global,Region x Season,Temperate South America,Spring,Duration,0.0701696408900636,0.031299561414151,2013,0.0819112371636669
Global,Region x Season,Temperate South America,Spring,Number_Events,2.39285714285714,0.41762427381764,2013,0.460840668104611
Global,Region x Season,Temperate South America,Summer,Cumulative_Intensity,0.195892711597997,0.110313155747859,2007,0.160171902192576
Global,Region x Season,Temperate South America,Summer,Maximum_Intensity,0.0137257116747056,0.0046450884249521,2006,0.00229624966806919
Global,Region x Season,Temperate South America,Summer,Duration,0.0593114917242823,0.191395414004621,2003,0.258768035700535
Global,Region x Season,Temperate South America,Summer,Number_Events,3.13333333333333,0.1244365734796,2003,0.127805296177661
Global,Region x Season,Temperate Southern Africa,Spring,Cumulative_Intensity,0.155527107007576,0.00539783342982398,1998,0.0488749687380303
Global,Region x Season,Temperate Southern Africa,Spring,Maximum_Intensity,0.0101452688172043,7.06293773294319e-4,2002,0.00311985363459873
Global,Region x Season,Temperate Southern Africa,Spring,Duration,0.066424322538004,0.0244477841885703,1998,0.108131515123144
Global,Region x Season,Temperate Southern Africa,Spring,Number_Events,1.19047619047619,9.95502353102527e-4,1999,0.0148301434398428
Global,Region x Season,Tropical Atlantic,Autumn,Cumulative_Intensity,0.163844450770047,7.7119758521161e-4,2000,0.00682388588027911
Global,Region x Season,Tropical Atlantic,Autumn,Maximum_Intensity,-0.00206697887677799,0.191395414004621,2007,0.439014152617235
Global,Region x Season,Tropical Atlantic,Autumn,Duration,0.152434593023256,1.84977287686785e-5,2001,1.35457472981708e-4
