Scale,Region_Name,Season_Name,Metrics,Trend_Decadal,P_Value,Change_Point_Year,Trend_Decadal_pre,P_Value_pre,Trend_Decadal_post,P_Value_post,RatioPostPre
Region,Tropical Atlantic,None,Number_MHW_days,13.342,8.9e-8,2001,1.926,0.417,37.954,0.0103,19.7061266874351
Region,Tropical Atlantic,None,Nevents,1.192,4.54e-7,2001,0.284,0.315,1.638,0.0497,5.767605633802817
Region,Tropical Atlantic,None,Mean_Intensity,-0.033,1.84e-4,2002,0.001,0.976,-0.02,0.4957,-20
Region,Tropical Atlantic,None,Maximum_Intensity,-0.018,0.357347194,2002,0.008,0.88,0.012,0.7212,1.5
Region,Tropical Atlantic,None,Cumulative_Intensity,15.004,1.91e-7,2001,3.094,0.417,38.963,0.0103,12.593083387201036
Region,Eastern Indo-Pacific,None,Number_MHW_days,12.359,5.84e-6,2001,1.308,0.673,29.96,0.0275,22.90519877675841
Region,Eastern Indo-Pacific,None,Nevents,0.821,5.28e-5,2001,0.276,0.626,0.681,0.2389,2.467391304347826
Region,Eastern Indo-Pacific,None,Mean_Intensity,-0.018,0.063951978,2002,0.007,0.695,-0.023,0.3468,-3.2857142857142856
Region,Eastern Indo-Pacific,None,Maximum_Intensity,-0.001,0.99070403,1995,-0.21,0.037,-0.034,0.359,0.1619047619047619
Region,Eastern Indo-Pacific,None,Cumulative_Intensity,15.143,1.25e-5,2001,3.526,0.315,30.542,0.0748,8.661939875212706
Region,Central Indo-Pacific,None,Number_MHW_days,12.46,2.78e-7,1997,-1.56,0.753,18.584,0.0035,-11.912820512820511
Region,Central Indo-Pacific,None,Nevents,1.04,1.5e-6,1997,-0.26,0.685,1.193,0.0095,-4.588461538461538
Region,Central Indo-Pacific,None,Mean_Intensity,-0.024,5.28e-5,2002,-0.009,0.566,-0.022,0.1119,2.4444444444444446
Region,Central Indo-Pacific,None,Maximum_Intensity,0,0.99070403,1984,-0.276,1,0.008,0.4507,-0.02898550724637681
Region,Central Indo-Pacific,None,Cumulative_Intensity,15.977,7.36e-7,1997,-2.185,0.62,22.667,0.0072,-10.373913043478261
Region,Western Indo-Pacific,None,Number_MHW_days,13.529,1.89e-6,2004,3.358,0.369,35.48,0.01,10.565812983918999
Region,Western Indo-Pacific,None,Nevents,1.097,1.25e-5,2004,0.426,0.342,1.808,0.0408,4.244131455399061
Region,Western Indo-Pacific,None,Mean_Intensity,-0.015,0.016919054,2006,0.002,0.907,-0.002,1,-1
Region,Western Indo-Pacific,None,Maximum_Intensity,0.011,0.521648149,1995,-0.096,0.125,0.006,0.9005,-0.0625
Region,Western Indo-Pacific,None,Cumulative_Intensity,16.581,2.66e-6,2004,4.369,0.398,44.079,0.0124,10.089036392767225
Region,Tropical Eastern Pacific,None,Number_MHW_days,6.569,0.008174287,2005,1.232,0.785,23.978,0.1275,19.46266233766234
Region,Tropical Eastern Pacific,None,Nevents,0.62,0.007628452,2001,-0.122,0.82,1.271,0.1235,-10.418032786885245
Region,Tropical Eastern Pacific,None,Mean_Intensity,-0.018,0.40811042,2016,0.011,0.532,-0.366,0.0085,-33.27272727272727
Region,Tropical Eastern Pacific,None,Maximum_Intensity,-0.007,0.753082136,2017,0.026,0.438,-0.521,0.2207,-20.03846153846154
Region,Tropical Eastern Pacific,None,Cumulative_Intensity,9.04,0.015875547,2005,1.333,0.862,29.265,0.174,21.95423855963991
Region,Temperate South America,None,Number_MHW_days,5.471,0.013076818,2003,0.256,0.91,16.635,0.0931,64.98046875
Region,Temperate South America,None,Nevents,0.24,0.091142799,2003,-0.012,0.91,0.42,0.363,-35
Region,Temperate South America,None,Mean_Intensity,0.047,0.018022282,2006,0.009,0.761,-0.083,0.2604,-9.222222222222223
Region,Temperate South America,None,Maximum_Intensity,0.091,0.002968184,2006,0.017,0.761,-0.075,0.444,-4.411764705882352
Region,Temperate South America,None,Cumulative_Intensity,10.733,0.011462469,2003,-0.716,0.91,26.143,0.0358,-36.512569832402235
Region,Temperate Southern Africa,None,Number_MHW_days,8.778,1.89e-6,1998,0.353,0.837,11.928,0.0043,33.79036827195468
Region,Temperate Southern Africa,None,Nevents,0.667,1.01e-5,1998,-0.075,0.773,0.65,0.0309,-8.666666666666668
Region,Temperate Southern Africa,None,Mean_Intensity,0.052,9.76e-4,2005,0.047,0.385,0.05,0.2661,1.0638297872340425
Region,Temperate Southern Africa,None,Maximum_Intensity,0.113,1.71e-5,2006,0.061,0.338,0.093,0.1151,1.5245901639344261
Region,Temperate Southern Africa,None,Cumulative_Intensity,16.46,5.12e-7,1998,3.146,0.592,22.76,0.0032,7.234583598219962
Region,Temperate Australasia,None,Number_MHW_days,13.94,1.12e-5,1997,-2.926,0.499,16.179,0.0585,-5.5293916609706075
Region,Temperate Australasia,None,Nevents,0.914,1.01e-5,1997,-0.272,0.558,0.692,0.0721,-2.5441176470588234
Region,Temperate Australasia,None,Mean_Intensity,0.012,0.258412876,2008,-0.043,0.024,0.004,0.9128,-0.0930232558139535
Region,Temperate Australasia,None,Maximum_Intensity,0.063,0.011462469,2007,-0.055,0.123,0.024,0.6922,-0.4363636363636364
Region,Temperate Australasia,None,Cumulative_Intensity,20.956,6.51e-6,1997,-5.465,0.444,25.35,0.0422,-4.638609332113449
Region,Southern Ocean,None,Number_MHW_days,-4.672,1.15e-4,2006,-0.956,0.414,0.409,1,-0.42782426778242677
Region,Southern Ocean,None,Nevents,-0.482,7.27e-6,2006,-0.113,0.338,-0.291,0.4995,2.575221238938053
Region,Southern Ocean,None,Mean_Intensity,0.104,2.88e-5,2005,-0.043,0.056,0.253,0.0015,-5.883720930232559
Region,Southern Ocean,None,Maximum_Intensity,0.139,5.83e-5,2005,-0.066,0.04,0.341,8e-4,-5.166666666666667
Region,Southern Ocean,None,Cumulative_Intensity,-0.591,0.491823743,1993,7.17,0.244,0.613,0.7215,0.08549511854951185
Region x Season,Arctic,Summer,Number_MHW_days,4.004,1.58e-7,2002,1.382,0.156,6.307,0.0252,4.563675832127353
Region x Season,Arctic,Summer,Nevents,0.191,1.62e-5,2002,0.103,0.239,0.057,0.8203,0.5533980582524273
Region x Season,Arctic,Summer,Mean_Intensity,0.359,4.54e-5,2006,0.001,0.981,0.268,0.3444,268
Region x Season,Arctic,Summer,Maximum_Intensity,0.555,9.04e-5,2006,-0.004,0.907,0.463,0.444,-115.75
Region x Season,Arctic,Summer,Cumulative_Intensity,11.975,1.22e-7,2002,2.326,0.194,28.077,0.015,12.070937231298366
Region x Season,Arctic,Autumn,Number_MHW_days,4.895,4.65e-8,2000,0.201,0.78,9.28,6e-4,46.16915422885572
Region x Season,Arctic,Autumn,Nevents,0.248,6.04e-8,2000,0.067,0.294,0.278,0.0095,4.149253731343284
Region x Season,Arctic,Autumn,Mean_Intensity,0.191,1.15e-4,2002,0.087,0.566,0.106,0.5376,1.2183908045977012
Region x Season,Arctic,Autumn,Maximum_Intensity,0.351,1.89e-6,2002,0.066,0.381,0.414,0.1273,6.2727272727272725
Region x Season,Arctic,Autumn,Cumulative_Intensity,8.001,7.02e-9,2002,1.762,0.065,16.354,0.015,9.28149829738933
Region x Season,Arctic,Winter,Number_MHW_days,3.778,5.83e-5,2004,-0.473,0.635,13.157,0.0489,-27.816067653276956
Region x Season,Arctic,Winter,Nevents,0.179,7.59e-4,2000,-0.188,0.08,0.166,0.2147,-0.8829787234042553
Region x Season,Arctic,Winter,Mean_Intensity,0.086,7.36e-7,1998,0.115,0.004,0.02,0.5352,0.17391304347826086
Region x Season,Arctic,Winter,Maximum_Intensity,0.144,1.91e-7,1998,0.14,0.019,0.04,0.3334,0.2857142857142857
Region x Season,Arctic,Winter,Cumulative_Intensity,3.835,6.1e-9,2000,-0.174,0.675,6.062,0,-34.839080459770116
Region x Season,Arctic,Spring,Number_MHW_days,2.567,0.005962604,2002,-1.257,0.037,6.75,0.0855,-5.369928400954654
Region x Season,Arctic,Spring,Nevents,0.06,0.118442464,2002,-0.087,0.139,-0.139,0.2843,1.5977011494252875
Region x Season,Arctic,Spring,Mean_Intensity,0.055,0.032038025,1989,0.115,0.536,0.003,0.9876,0.02608695652173913
Region x Season,Arctic,Spring,Maximum_Intensity,0.094,0.006867055,1989,0.158,0.711,0.025,0.5664,0.15822784810126583
Region x Season,Arctic,Spring,Cumulative_Intensity,2.458,7.8e-7,2002,0.301,0.216,3.702,0.0556,12.299003322259136
Region x Season,Temperate Northern Atlantic,Summer,Number_MHW_days,4.86,1.71e-8,2001,1.78,0.086,4.846,0.0275,2.7224719101123593
Region x Season,Temperate Northern Atlantic,Summer,Nevents,0.348,1.95e-8,2001,0.143,0.064,0.319,0.0431,2.230769230769231
Region x Season,Temperate Northern Atlantic,Summer,Mean_Intensity,0.062,0.00845565,2001,-0.038,0.581,0.015,0.6506,-0.39473684210526316
Region x Season,Temperate Northern Atlantic,Summer,Maximum_Intensity,0.196,5.54e-5,2001,-0.03,0.77,0.143,0.1941,-4.766666666666667
