Scale,Region_Name,Season_Name,Metrics,Trend_Decadal,P_Value,Change_Point_Year,Trend_Decadal_pre,P_Value_pre,Trend_Decadal_post,P_Value_post,RatioPostPre
Region x Season,Tropical Eastern Pacific,Spring,Cumulative_Intensity,1.274,0.212521935,2001,-0.986,0.673,2.292,0.5661,-2.3245436105476673
Region x Season,Temperate South America,Summer,Number_MHW_days,1.385,0.04145691,2004,-1.538,0.398,1.232,0.5445,-0.801040312093628
Region x Season,Temperate South America,Summer,Nevents,0.059,0.212521935,2004,-0.113,0.154,-0.032,0.8202,0.2831858407079646
Region x Season,Temperate South America,Summer,Mean_Intensity,0.05,0.016919054,2007,0.009,0.791,-0.046,0.3223,-5.111111111111112
Region x Season,Temperate South America,Summer,Maximum_Intensity,0.105,0.003201354,2007,0.024,0.791,-0.095,0.4884,-3.9583333333333335
Region x Season,Temperate South America,Summer,Cumulative_Intensity,2.545,0.048950239,2004,-2.849,0.291,2.132,0.6494,-0.7483327483327483
Region x Season,Temperate South America,Autumn,Number_MHW_days,2.042,0.001300344,2003,0.962,0.367,4.289,0.0802,4.458419958419959
Region x Season,Temperate South America,Autumn,Nevents,0.118,0.015368381,1996,0.008,1,0.136,0.1583,17
Region x Season,Temperate South America,Autumn,Mean_Intensity,0.061,0.032038025,2006,0.023,0.691,-0.04,0.7526,-1.7391304347826089
Region x Season,Temperate South America,Autumn,Maximum_Intensity,0.126,0.003580246,2006,0.051,0.559,0.034,0.7526,0.6666666666666667
Region x Season,Temperate South America,Autumn,Cumulative_Intensity,3.41,0.001300344,2003,1.242,0.43,8.269,0.0589,6.65780998389694
Region x Season,Temperate South America,Winter,Number_MHW_days,1.687,0.014409747,2013,0.227,0.661,9.369,0.4655,41.27312775330396
Region x Season,Temperate South America,Winter,Nevents,0.112,0.053088171,2014,0.015,0.816,0.551,0.3865,36.733333333333334
Region x Season,Temperate South America,Winter,Mean_Intensity,0.019,0.455838492,2006,-0.026,0.624,-0.171,0.0957,6.5769230769230775
Region x Season,Temperate South America,Winter,Maximum_Intensity,0.058,0.155164858,2000,-0.122,0.263,0.027,1,-0.22131147540983606
Region x Season,Temperate South America,Winter,Cumulative_Intensity,2.668,0.017455395,2013,0.435,0.593,5.372,0.2515,12.349425287356322
Region x Season,Temperate South America,Spring,Number_MHW_days,0.844,0.067367792,2013,-0.138,0.833,4.643,0.4655,-33.64492753623188
Region x Season,Temperate South America,Spring,Nevents,0.02,0.568066961,2013,-0.046,0.307,0.138,0.917,-3.0000000000000004
Region x Season,Temperate South America,Spring,Mean_Intensity,0.039,0.034958632,2006,-0.015,0.691,-0.047,0.6853,3.1333333333333333
Region x Season,Temperate South America,Spring,Maximum_Intensity,0.083,0.026057912,2006,-0.038,0.559,0.014,0.8926,-0.368421052631579
Region x Season,Temperate South America,Spring,Cumulative_Intensity,1.691,0.019188017,2010,-0.124,0.896,10.716,0.1148,-86.41935483870967
Region x Season,Temperate Southern Africa,Summer,Number_MHW_days,3.218,6.53e-7,1998,1.43,0.108,2.774,0.1303,1.93986013986014
Region x Season,Temperate Southern Africa,Summer,Nevents,0.275,2.3e-7,1998,0.157,0.053,0.22,0.1123,1.4012738853503184
Region x Season,Temperate Southern Africa,Summer,Mean_Intensity,0.026,0.158606077,2007,-0.014,0.597,-0.015,0.9212,1.0714285714285714
Region x Season,Temperate Southern Africa,Summer,Maximum_Intensity,0.092,0.001591662,2006,0.024,0.624,0.095,0.3444,3.9583333333333335
